id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights,total_reviews,avg_rating
781,Shaw,6/9/2013,F,1,1,Entire home/apt,8,2.5 baths,4,4,425,31,68,4.47
783,Shaw,7/29/2016,T,1,3,Entire home/apt,2,1 bath,1,1,75,31,248,4.81
784,Shaw,8/5/2015,T,1,2,Entire home/apt,6,2 baths,3,3,265,31,199,4.87
785,Union Station,9/24/2012,T,1,2,Private room,4,1 shared bath,,1,175,1,48,4.98
787,Foggy Bottom,1/30/2011,F,,2,Entire home/apt,2,1 bath,1,2,130,31,18,4.94
788,Shaw,12/14/2014,F,,3,Entire home/apt,4,2.5 baths,2,2,72,31,3,3.67
789,Shaw,6/10/2014,F,,1,Entire home/apt,4,2.5 baths,2,2,205,31,25,4.68
790,Union Station,11/16/2013,F,,1,Entire home/apt,4,1 bath,1,1,82,2,51,4.94
793,Union Station,5/11/2015,F,,2,Private room,2,1 private bath,,1,57,31,3,5
795,Union Station,11/8/2016,T,0.95,1,Entire home/apt,4,1.5 baths,2,2,212,3,141,4.96
796,Capitol Hill,9/2/2012,T,1,29,Entire home/apt,8,2 baths,3,3,388,31,10,4.67
797,Georgetown,5/4/2012,T,0.95,7,Entire home/apt,13,3.5 baths,4,5,479,2,238,4.88
801,Shaw,4/23/2013,F,,1,Entire home/apt,6,1 bath,1,1,179,1,573,4.84
802,Capitol Hill,1/6/2015,T,1,1,Entire home/apt,3,1 bath,1,1,155,2,306,5
803,Capitol Hill,12/14/2015,T,0.98,1,Entire home/apt,4,1 bath,2,4,168,1,446,4.86
805,Dupont Circle,8/1/2017,F,1,2,Entire home/apt,5,1 bath,2,4,219,2,238,4.65
806,Union Station,11/27/2012,F,,1,Entire home/apt,6,2 baths,2,2,73,31,16,4.88
807,Capitol Hill,8/2/2017,F,0.94,1,Entire home/apt,6,2.5 baths,3,3,281,2,312,4.87
810,Union Station,3/31/2014,T,0.99,9,Entire home/apt,2,1 bath,1,1,159,1,183,4.78
812,Union Station,12/3/2014,F,0.95,1,Entire home/apt,6,2 baths,3,3,250,3,36,4.77
816,Capitol Hill,12/19/2013,F,,4,Entire home/apt,4,1 bath,1,1,145,4,36,5
817,Capitol Hill,8/7/2017,T,1,1,Entire home/apt,4,1 bath,1,1,136,3,89,4.83
819,Dupont Circle,3/11/2015,T,1,4,Entire home/apt,7,1 bath,2,4,230,1,231,4.76
824,Capitol Hill,5/18/2009,F,0.99,164,Entire home/apt,6,3.5 baths,2,5,54,31,12,4.42
825,Foggy Bottom,6/24/2011,T,0.99,6,Entire home/apt,2,1 bath,2,2,80,90,6,5
827,Union Station,8/22/2017,T,1,3,Entire home/apt,5,2.5 baths,2,4,151,31,191,4.95
829,Dupont Circle,8/21/2017,F,1,1,Entire home/apt,4,1 bath,1,1,115,31,70,4.8
830,Union Station,8/1/2013,F,,4,Entire home/apt,9,2.5 baths,4,4,250,31,73,4.96
831,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,35,1,15,4.4
833,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,31,1,28,4.54
834,Capitol Hill,9/19/2016,F,0,2,Entire home/apt,4,1 bath,1,1,100,31,2,5
836,Capitol Hill,9/1/2017,T,1,2,Entire home/apt,2,1 bath,1,2,144,2,224,4.93
